# Valheim item prefab names, one per line, in the format:
#     Prefab | Display Name | ItemType        (every column after the first is optional)
# A line with no '|' is a bare prefab name and stays valid -- that is what --items FILE accepts.
# An empty column means 'unknown', not an error; ItemType is unfilled pending a game dump.
# Every prefab carrying an ItemDrop component, with English display names, generated from
# Valheim 1.0.7 by JotunnDoc (valheim-modding.github.io/Jotunn, 2026-09-15). Includes some
# creature-attack/NPC prefabs, which are harmless here and keep hash lookup complete;
# extend with --items FILE for items added in later game versions.
Abomination_attack1 | Swing attack
ArmorTunic7 | Plain Yellow Tunic
ArmorTunic8 | Yellow Tunic with Cape
ArmorTunic9 | Yellow Tunic with Beads
ArmorWolfChest | Wolf Hide Chestpiece
ArmorWolfLegs | Wolf Hide Trousers
ArrowBloodGold | Bloodgold Arrow
ArrowBronze | Bronzehead Arrow
ArrowCarapace | Carapace Arrow
ArrowCharred | Charred Arrow
ArrowFire | Fire Arrow
ArrowFlint | Flinthead Arrow
ArrowFrost | Frost Arrow
ArrowIron | Ironhead Arrow
ArrowNeedle | Needle Arrow
ArrowObsidian | Obsidian Arrow
ArrowPoison | Poison Arrow
ArrowSilver | Silver Arrow
ArrowWood | Wood Arrow
AskBladder | Asksvin Bladder
AskHide | Asksvin Hide
AsksvinCarrionNeck | Asksvin Neck
AsksvinCarrionPelvic | Asksvin Pelvis
AsksvinCarrionRibcage | Asksvin Ribcage
AsksvinCarrionSkull | Asksvin Skull
AsksvinEgg | Asksvin Egg
AsksvinMeat | Asksvin Tail
AtgeirBlackmetal | Black Metal Atgeir
AtgeirBronze | Bronze Atgeir
AtgeirGold | Nord Atgeir
AtgeirGold_BloodLightning | Thunderblood Atgeir
AtgeirGold_FrostFire | Frostfire Atgeir
AtgeirGoldUncooked | Cast: Nord Atgeir
AtgeirHimminAfl | Himminafl
AtgeirIron | Iron Atgeir
AtgeirWood | Wooden Atgeir
Axe1h_JotunWarrior | Club
Axe1h_JotunWarrior 1 | Club
Axe2h_JotunWarrior | Club
AxeBerzerkr | Berserkir Axes
AxeBerzerkrBlood | Bleeding Berserkir Axes
AxeBerzerkrLightning | Thundering Berserkir Axes
AxeBerzerkrNature | Primal Berserkir Axes
AxeBlackMetal | Black Metal Axe
AxeBronze | Bronze Axe
AxeEarly | Early Axes
AxeFlint | Flint Axe
AxeGold | Nord Axe
AxeGold_BloodLightning | Thunderblood Axe
AxeGold_FrostFire | Frostfire Axe
AxeGoldUncooked | Cast: Nord Axe
AxeHead1 | Curious Axe Head
AxeHead2 | Mysterious Axe Head
AxeIron | Iron Axe
AxeJotunBane | Jotun Bane
AxeStone | Stone Axe
AxeWood | Wooden Axe
BakedPoteitr | Baked Poteitr
BakedPoteitrUncooked | Unbaked Poteitr
BarberKit | Barber Kit
BarkaBranch | Frozen Branch
Barley | Barley
BarleyFlour | Barley Flour
BarleyWine | Fire Resistance Barley Wine
BarleyWineBase | Barley Wine Base: Fire Resistance
BarrelRings | Barrel Hoops
bat_melee | Bat melee
Battleaxe | Battleaxe
BattleaxeBlackmetal | Black Metal Battleaxe
BattleaxeCrystal | Crystal Battleaxe
BattleaxeGold | Nord Greataxe
BattleaxeGold_BloodLightning | Thunderblood Greataxe
BattleaxeGold_FrostFire | Frostfire Greataxe
BattleaxeGoldUncooked | Cast: Nord Greataxe
BattleaxeSkullSplittur | Skull Splittur
BattleaxeWood | Wooden Battleaxe
BeechSeeds | Beech Seeds
Bell | Bell
BellFragment | Bell Fragment
BeltStrength | Megingjord
Bilebag | Bilebag
BirchSeeds | Birch Seeds
bjorn_bite | bjorn bite
bjorn_claws | bjorn bite
bjorn_swipe_combo | bjorn bite
bjorn_swipe_l | bjorn bite
bjorn_swipe_r | bjorn bite
BjornHide | Bear Hide
BjornMeat | Bear Meat
BjornPaw | Bear Paw
BlackCore | Black Core
BlackMarble | Black Marble
BlackMetal | Black Metal
BlackMetalScrap | Black Metal Scrap
BlackSoup | Black Soup
Blackwood | Ashwood
BlobVial | Corked Vial
Bloodbag | Bloodbag
BloodGoldKey | Intricate Key
BloodPudding | Blood Pudding
Blueberries | Blueberries
BoarJerky | Boar Jerky
BoltBlackmetal | Black Metal Bolt
BoltBloodGold | Bloodgold Bolt
BoltBone | Bone Bolt
BoltCarapace | Carapace Bolt
BoltCharred | Charred Bolt
BoltIron | Iron Bolt
BombBile | Bile Bomb
BombBlob_Frost | Blob Bomb: Frost
BombBlob_Lava | Blob Bomb: Lava
BombBlob_Morkhalla | Blob Bomb: Pulp
BombBlob_Poison | Blob Bomb: Poison
BombBlob_PoisonElite | Blob Bomb: Elite Poison
BombBlob_Tar | Blob Bomb: Tar
BombDynamite | Ember Charge
BombLava | Basalt Bomb
BombOoze | Ooze Bomb
BombSiege | Explosive Payload
BombSmoke | Smoke Bomb
BoneFragments | Bone Fragments
BoneMawSerpentMeat | Bonemaw Meat
BonemawSerpentScale | Bonemaw Scale
BonemawSerpentTooth | Bonemaw Tooth
Bow | Crude Bow
BowAshlands | Ash Fang
BowAshlandsBlood | Blood Fang
BowAshlandsRoot | Root Fang
BowAshlandsStorm | Storm Fang
BowDraugrFang | Draugr Fang
BowFineWood | Finewood Bow
BowGold | Nord Bow
BowGold_BloodLightning | Thunderblood Bow
BowGold_FrostFire | Frostfire Bow
BowGoldUncooked | Cast: Nord Bow
BowHuntsman | Huntsman Bow
BowSpineSnap | Spinesnap
Bread | Bread
BreadDough | Bread Dough
Bronze | Bronze
BronzeNails | Bronze Nails
BronzeScrap | Scrap Bronze
BugMeat | Seeker Meat
CandleWick | Candle Wick
CapeAsh | Ashen Cape
CapeAsksvin | Asksvin Cloak
CapeDeepNorth | Moose Hide Cape
CapeDeepNorthMage | Cape of the Caller
CapeDeerHide | Deer Hide Cape
CapeFeather | Feather Cape
CapeLinen | Linen Cape
CapeLox | Lox Cape
CapeOdin | Cape of Oden
CapeTest | CAPE TEST
CapeTrollHide | Troll Hide Cape
CapeWolf | Wolf Fur Cape
Carapace | Carapace
Carrot | Carrot
CarrotSeeds | Carrot Seeds
CarrotSoup | Carrot Soup
Catapult_ammo | Grausten Payload
Catapult_Ammo_BloodGold | Bloodgold Payload
CelestialFeather | Celestial Feather
CeramicPlate | Ceramic Plate
Chain | Chain
CharcoalResin | Charcoal Resin
charred_bow | Bow
charred_bow_Fader | Bow
charred_bow_volley | Bow
charred_bow_volley_Fader | Bow
Charred_Breastplate | Iron plate armor
charred_dyrnwyn_greatsword_feint | Charred Sword
charred_dyrnwyn_greatsword_swing | Charred Sword
charred_dyrnwyn_greatsword_thrust | Charred Sword
charred_dyrnwyn_greatsword_thrustfeint | Charred Sword
charred_fader_greatsword_feint | Charred Sword
charred_fader_greatsword_swing | Charred Sword
charred_fader_greatsword_thrust | Charred Sword
charred_fader_greatsword_thrustfeint | Charred Sword
charred_greatsword_feint | Charred Sword
charred_greatsword_swing | Charred Sword
charred_greatsword_thrust | Charred Sword
charred_greatsword_thrustfeint | Charred Sword
Charred_Helmet | Iron plate armor
Charred_HipCloth | Iron plate armor
Charred_MageCloths | Iron plate armor
charred_magestaff_fire | Bow
charred_magestaff_summon | Bow
charred_twitcher_scratch_l | Charred Sword
charred_twitcher_scratch_r | Charred Sword
charred_twitcher_throw | Bow
CharredBone | Charred Bone
CharredCogwheel | Charred Cogwheel
Charredskull | Charred Skull
chest_hildir1 | Hildir's Brass Chest
chest_hildir2 | Hildir's Silver Chest
chest_hildir3 | Hildir's Bronze Chest
ChickenEgg | Egg
ChickenMeat | Chicken Meat
Chitin | Chitin
Cloudberry | Cloudberries
Club | Club
Coal | Coal
Coins | Coins
CookedAsksvinMeat | Cooked Asksvin Tail
CookedBjornMeat | Cooked Bear Meat
CookedBoneMawSerpentMeat | Cooked Bonemaw Meat
CookedBugMeat | Cooked Seeker Meat
CookedChickenMeat | Cooked Chicken Meat
CookedDeerMeat | Cooked Deer Meat
CookedEgg | Cooked Egg
CookedHareMeat | Cooked Hare Meat
CookedLoxMeat | Cooked Lox Meat
CookedMeat | Cooked Boar Meat
CookedMooseMeat | Cooked Moose Meat
CookedSealBlubber | Cooked Seal Blubber
CookedVoltureMeat | Cooked Volture Meat
CookedWolfMeat | Cooked Wolf Meat
Copper | Copper
CopperOre | Copper Ore
CopperScrap | Copper Scrap
CrossbowArbalest | Arbalest
CrossbowGold | Nord Crossbow
CrossbowGold_BloodLightning | Thunderblood Crossbow
CrossbowGold_FrostFire | Frostfire Crossbow
CrossbowGoldUncooked | Cast: Nord Crossbow
CrossbowRipper | Ripper
CrossbowRipperBlood | Wound Ripper
CrossbowRipperLightning | Storm Ripper
CrossbowRipperNature | Root Ripper
CrownJewel | Crown Jewel
CryptKey | Swamp Key
Crystal | Crystal
Cultivator | Cultivator
CuredSquirrelHamstring | Cured Squirrel Hamstring
Dandelion | Dandelion
Deathsquito_sting | Wraith melee
DeerHide | Deer Hide
DeerMeat | Deer Meat
DeerStew | Deer Stew
Demister | Wisplight
DragonEgg | Dragon Egg
DragonTear | Dragon Tear
draugr_arrow | Ironhead arrow
draugr_axe | Dragur axe
draugr_bow | Bow
draugr_sword | Dragur axe
DvergerArbalest | Arbalest
DvergerArbalest_shoot | Arbalest
DvergerArbalest_shootAshlands | Arbalest
DvergerArbalest_shootDeepNorth | Arbalest
DvergerHairFemale | Iron plate armor
DvergerHairFemale_Redhair | Iron plate armor
DvergerHairMale | Iron plate armor
DvergerHairMale_Redbeard | Iron plate armor
DvergerStaffFire | Club
DvergerStaffHeal | Club
DvergerStaffIce | Club
DvergerStaffSupport | Club
DvergerSuitArbalest | Iron plate armor
DvergerSuitArbalest_Ashlands | Iron plate armor
DvergerSuitFire | Iron plate armor
DvergerSuitIce | Iron plate armor
DvergerSuitSupport | Iron plate armor
DvergrKey | Sealbreaker
DvergrKeyFragment | Sealbreaker Fragment
DvergrNeedle | Dvergr Extractor
DyrnwynBladeFragment | Dyrnwyn Blade Fragment
DyrnwynHiltFragment | Dyrnwyn Hilt Fragment
DyrnwynTipFragment | Dyrnwyn Tip Fragment
Ectoplasm | Ectoplasm
Eitr | Refined Eitr
Elaking_AttackJump | Charred Sword
Elaking_AttackLantern | Torch
ElakingHairBundle | Elaking Hair Bundle
ElderBark | Ancient Bark
Entrails | Entrails
Eyescream | Eyescream
FaderDrop | Fader Relic
FaderEmber | Embers
fallenvalkyrie_claws | Fallen Valkyrie Claws
fallenvalkyrie_screech | Fallen Valkyrie Claws
fallenvalkyrie_spin | Fallen Valkyrie Aoe Spin
fallenvalkyrie_swoopattack | Fallen Valkyrie swooping
fallenvalkyrie_taunt | Fallen Valkyrie Claws
fallenvalkyrie_wingspin | Fallen Valkyrie Wingspin
FeastAshlands | Ashlands Gourmet Bowl
FeastAshlands_Material | Ashlands Gourmet Bowl
FeastBlackforest | Black Forest Buffet Platter
FeastBlackforest_Material | Black Forest Buffet Platter
FeastDeepNorth | Northern Morning Fare
FeastDeepNorth_Material | Northern Morning Fare
Feaster | Serving Tray
FeastMeadows | Whole Roasted Meadow Boar
FeastMeadows_Material | Whole Roasted Meadow Boar
FeastMistlands | Mushrooms Galore  la Mistlands
FeastMistlands_Material | Mushrooms Galore  la Mistlands
FeastMountains | Hearty Mountain Logger's Stew
FeastMountains_Material | Hearty Mountain Logger's Stew
FeastOceans | Sailor's Bounty
FeastOceans_Material | Sailor's Bounty
FeastPlains | Plains Pie Picnic
FeastPlains_Material | Plains Pie Picnic
FeastSwamps | Swamp Dweller's Delight
FeastSwamps_Material | Swamp Dweller's Delight
Feathers | Feathers
Fiddleheadfern | Fiddlehead
FierySvinstew | Fiery Svinstew
FineWood | Finewood
FirCone | Fir Cone
FirConeFrost | Timberwood Cone
FireworksRocket_Blue | Blue Fireworks
FireworksRocket_Cyan | Cyan Fireworks
FireworksRocket_Green | Green Fireworks
FireworksRocket_Purple | Purple Fireworks
FireworksRocket_Red | Red Fireworks
FireworksRocket_White | Basic Fireworks
FireworksRocket_Yellow | Yellow Fireworks
Fish1 | Perch
Fish10 | Northern Salmon
Fish11 | Magmafish
Fish12 | Pufferfish
Fish2 | Pike
Fish3 | Tuna
Fish4_cave | Tetra
Fish5 | Trollfish
Fish6 | Giant Herring
Fish7 | Grouper
Fish8 | Coral Cod
Fish9 | Anglerfish
FishAndBread | Fish 'n' Bread
FishAndBreadUncooked | Uncooked Fish 'n' Bread
FishAnglerRaw | Raw Fish
FishCooked | Cooked Fish
FishingBait | Fishing Bait
FishingBaitAshlands | Hot Fishing Bait
FishingBaitCave | Cold Fishing Bait
FishingBaitDeepNorth | Frosty Fishing Bait
FishingBaitForest | Mossy Fishing Bait
FishingBaitMistlands | Misty Fishing Bait
FishingBaitOcean | Heavy Fishing Bait
FishingBaitPlains | Stingy Fishing Bait
FishingBaitSwamp | Sticky Fishing Bait
FishingRod | Fishing Rod
FishRaw | Raw Fish
FishSoup | Fish Soup
FishWraps | Fish Wraps
FistBjornClaw | Paws of the Bear
FistBjornUndeadClaw | Vilebone Maulclaws
FistFenrirClaw | Flesh Rippers
FistGold | Nord Knucklechains
FistGold_BloodLightning | Thunderblood Knucklechains
FistGold_FrostFire | Frostfire Knucklechains
FistGoldUncooked | Cast: Nord Knucklechains
Flametal | Ancient Metal
FlametalNew | Flametal
FlametalOre | Glowing Metal Ore
FlametalOreNew | Flametal Ore
Flax | Flax
Flint | Flint
FragrantBundle | Fragrant Bundle
FreezeGland | Freeze Gland
FreshSeaweed | Fresh Seaweed
FrostCore | Frostcore
Frostwood | Timberwood
FrozenFuel | Liquid Frost
FrozenKingDrop | Sacrificial Blood
FW_ArmorBronzeChest | Bronze Plate Tunic
FW_ArmorBronzeLegs | Bronze Plate Leggings
FW_ArmorFenringChest | Fenris Coat
FW_ArmorFenringLegs | Fenris Leggings
FW_ArmorMageChest | Eitr-weave Robe
FW_ArmorMageChest_Ashlands | Robes of Embla
FW_ArmorMageLegs | Eitr-weave Trousers
FW_ArmorMageLegs_Ashlands | Trousers of Embla
FW_ArmorPaddedCuirass | Padded Cuirass
FW_ArmorPaddedGreaves | Padded Greaves
FW_ArmorTrollLeatherChest | Troll Leather Tunic
FW_ArmorTrollLeatherLegs | Troll Leather Trousers
FW_AxeBronze | Bronze Axe
FW_BattleaxeCrystal | Crystal Battleaxe
FW_BowDraugrFang | Draugr Fang
FW_CapeLinen | Linen Cape
FW_CapeTrollHide | Troll Hide Cape
FW_CapeWolf | Wolf Fur Cape
FW_HelmetBronze | Bronze Helmet
FW_KnifeSilver | Silver Knife
FW_KnifeSkollAndHati | Skoll and Hati
FW_ShieldBlackmetalTower | Black Metal Tower Shield
FW_StaffFireball | Staff of Embers
FW_StaffLightning | Dundr
FW_SwordBlackmetal | Black Metal Sword
GemstoneBlue | Iolite
GemstoneGreen | Jade
GemstoneRed | Bloodstone
GenericMoldUncooked | [item_smallparts_gold_uncooked]
GiantBloodSack | Blood Clot
GlowWorm | Luminous Larva
GoblinArmband | Iron plate armor
GoblinBrute_ArmGuard | Iron plate armor
GoblinBrute_Attack | Brute sword
GoblinBrute_Backbones | Iron plate armor
GoblinBrute_ExecutionerCap | Iron plate armor
GoblinBrute_HipCloth | Iron plate armor
GoblinBrute_LegBones | Iron plate armor
GoblinBrute_RageAttack | Brute sword
GoblinBrute_ShoulderGuard | Iron plate armor
GoblinBrute_Taunt | Brute taunt
GoblinBruteBros_Attack | Brute sword
GoblinBruteBros_RageAttack | Brute sword
GoblinClub | Club
GoblinClubDeepNorth | Club
GoblinHelmet | Iron plate armor
GoblinLegband | Iron plate armor
GoblinLoin | Iron plate armor
GoblinShaman_attack_poke | Club
GoblinShaman_Headdress_antlers | Club
GoblinShaman_Headdress_feathers | Club
GoblinShaman_Staff_Bones | Club
GoblinShaman_Staff_Feathers | Club
GoblinShaman_Staff_Hildir | Club
GoblinShoulders | Iron plate armor
GoblinSpear | Flint spear
GoblinSpearDeepNorth | Flint spear
GoblinSword | Bronze sword
GoblinSwordDeepNorth | Bronze sword
GoblinTorch | Torch
GoblinTorchDeepNorth | Torch
GoblinTotem | Fuling Totem
Gold | Bloodgold
GoldOre | Petrified Tissue
GrapplingHook | Grappling Hook
Grausten | Grausten
GreydwarfEye | Greydwarf Eye
Guck | Guck
Hammer | Hammer
HardAntler | Hard Antler
HareMeat | Hare Meat
HatefulBlood | Malicious Blood
HealthUpgrade_Bonemass | Bonemass heart
HealthUpgrade_GDKing | Elder heart
HelmetAshlandsMediumHood | Hood of Ask
HelmetBerserkerHood | Headdress of the Bear
HelmetBerserkerUndead | Vilebone Visage
HelmetBronze | Bronze Helmet
HelmetCarapace | Carapace Helmet
HelmetCelebration | Celebratory Cap
HelmetCrownofValheim | Crown of Valheim
HelmetDNHeavy | Helmet of the Protector
HelmetDNMage | Headdress of the Caller
HelmetDNMediumHood | Hood of the Vanguard
HelmetDrake | Drake Helmet
HelmetDverger | Dverger Circlet
HelmetFenring | Fenris Hood
HelmetFishingHat | Fishing Hat
HelmetFlametal | Flametal Helmet
HelmetHat1 | Blue Tied Headscarf
HelmetHat10 | Simple Purple Cap
HelmetHat2 | Green Twisted Headscarf
HelmetHat3 | Brown Fur Cap
HelmetHat4 | Extravagant Green Cap
HelmetHat5 | Simple Red Cap
HelmetHat6 | Yellow Tied Headscarf
HelmetHat7 | Red Twisted Headscarf
HelmetHat8 | Grey Fur Cap
HelmetHat9 | Extravagant Orange Cap
HelmetIron | Iron Helmet
HelmetLeather | Leather Helmet
HelmetLox | Lox Fur Hood
HelmetMage | Eitr-weave Hood
HelmetMage_Ashlands | Hood of Embla
HelmetMidsummerCrown | Midsummer Crown
HelmetOdin | Hood of Oden
HelmetPadded | Padded Helmet
HelmetPointyHat | Pointy Hat
HelmetRoot | Root Mask
HelmetRootCrown | Crown of Roots
HelmetStrawHat | Straw Hat
HelmetSweatBand | Headband
HelmetTrollLeather | Troll Leather Hood
HelmetYule | Yule Hat
HildirKey_forestcrypt | Hildir's Brass Key
HildirKey_mountaincave | Hildir's Silver Key
HildirKey_plainsfortress | Hildir's Bronze Key
Hoe | Hoe
Honey | Honey
HoneyGlazedChicken | Honey Glazed Chicken
HoneyGlazedChickenUncooked | Uncooked Honey Glazed Chicken
Hook | Hook
Ice | Ice
IceShoes | [item_iceshoes]
IceSkates | [item_iceskates]
Iron | Iron
IronNails | Iron Nails
IronOre | Iron Ore
Ironpit | Iron Pit
IronScrap | Scrap Iron
JotunHairFemale | Iron plate armor
JotunHairMale | Iron plate armor
JotunHairMale2 | Iron plate armor
JotunHairMale3 | Iron plate armor
JotunHairMale4 | Iron plate armor
JotunHairMale5 | Iron plate armor
JotunHairMale6 | Iron plate armor
JotunHairMale7 | Iron plate armor
JotunHairMale8 | Iron plate armor
JotunWarrior1HAxe_attack_cleave | Charred Sword
JotunWarrior1HAxe_attack_dodge | Charred Sword
JotunWarrior1HAxe_attack_dodger | Charred Sword
JotunWarrior1HAxe_attack_slash | Charred Sword
JotunWarrior1HAxe_attack_slashdw | Charred Sword
JotunWarrior2HAxe_attack_charge | Charred Sword
JotunWarrior2HAxe_attack_cleave | Charred Sword
JotunWarrior2HAxe_attack_dodge | Charred Sword
JotunWarrior2HAxe_attack_slash | Charred Sword
JotunWarrior2HSword_attack_charge | Charred Sword
JotunWarrior2HSword_attack_cleave | Charred Sword
JotunWarrior2HSword_attack_dodge | Charred Sword
JotunWarrior2HSword_attack_slash | Charred Sword
JotunWarrior_attack_charge | Charred Sword
JotunWarrior_attack_cleave | Charred Sword
JotunWarrior_attack_dodge | Charred Sword
JotunWarrior_attack_slash | Charred Sword
JotunWarrior_attack_sword | Charred Sword
JotunWarriorSword2h | Club
JotunWitch_attack_dodge | Charred Sword
JotunWitch_attack_dodge2 | Charred Sword
JotunWitch_attack_dodge_down | Charred Sword
JotunWitch_attack_dodge_up | Charred Sword
JuteBlue | Blue Jute
JuteRed | Red Jute
Kale | Kale
KaleChips | Kale Chips
KaleChipsUncooked | Raw Kale Chips
KaleSeeds | Kale Seeds
KeysGoldUncooked | Cast: Intricate Key
KnifeBlackMetal | Black Metal Knife
KnifeButcher | Butcher Knife
KnifeChitin | Abyssal Razor
KnifeCopper | Copper Knife
KnifeFlint | Flint Knife
KnifeGold | Nord Dagger
KnifeGold_BloodLightning | Thunderblood Dagger
KnifeGold_FrostFire | Frostfire Dagger
KnifeGoldUncooked | Cast: Nord Dagger
KnifeSilver | Silver Knife
KnifeSkollAndHati | Skoll and Hati
KnifeVoid | Voidcaller
KnifeWood | Wooden Knife
Lantern | Dvergr Lantern
Lantern_DN | Salvaged Lantern
Lantern_hooded | Hooded Lantern
Larva | [item_larva]
LastBossGate_RuneTile | [item_runetile]
LeatherScraps | Leather Scraps
Leatherstraps | Leather Straps
LinenThread | Linen Thread
Lingonberry | Lingonberries
Lingondricka | Lingonberry Juice
LoxMeat | Lox Meat
LoxPelt | Lox Pelt
LoxPie | Lox Meat Pie
LoxPieUncooked | Unbaked Lox Pie
MaceBronze | Bronze Mace
MaceEldner | Flametal Mace
MaceEldnerBlood | Bloodgeon
MaceEldnerLightning | Storm Star
MaceEldnerNature | Klossen
MaceGold | Nord Mace
MaceGold_BloodLightning | Thunderblood Mace
MaceGold_FrostFire | Frostfire Mace
MaceGoldUncooked | Cast: Nord Mace
MaceIron | Iron Mace
MaceNeedle | Porcupine
MaceSilver | Frostner
MaceWood | Wooden Mace
MagicallyStuffedShroom | Stuffed Mushroom
MagicallyStuffedShroomUncooked | Uncooked Stuffed Mushroom
Mandible | Mandible
MarinatedGreens | Marinated Greens
MashedMeat | Mashed Meat
MeadBaseBugRepellent | Mead Base: Anti-Sting
MeadBaseBzerker | Mead base: Berserkir
MeadBaseEitrLingering | Mead Base: Lingering Eitr
MeadBaseEitrMinor | Mead Base: Minor Eitr
MeadBaseFrostResist | Mead Base: Frost Resistance
MeadBaseHasty | Mead base: Ratatosk
MeadBaseHealthLingering | Mead Base: Lingering Health
MeadBaseHealthMajor | Mead Base: Major Healing
MeadBaseHealthMedium | Mead Base: Medium Healing
MeadBaseHealthMinor | Mead Base: Minor Healing
MeadBaseLightFoot | Mead Base: Lightfoot
MeadBasePoisonResist | Mead Base: Poison Resistance
MeadBaseStaminaLingering | Mead Base: Lingering Stamina
MeadBaseStaminaMedium | Mead Base: Medium Stamina
MeadBaseStaminaMinor | Mead Base: Minor Stamina
MeadBaseStrength | Mead Base: Troll Endurance
MeadBaseSwimmer | Mead Base: Vananidir
MeadBaseTamer | Mead Base: Animal Whispers
MeadBaseTasty | Mead Base: Tasty
MeadBugRepellent | Anti-Sting Concoction
MeadBzerker | Berserkir Mead
MeadEitrLingering | Lingering Eitr Mead
MeadEitrMinor | Minor Eitr Mead
MeadFrostResist | Frost Resistance Mead
MeadHasty | Tonic of Ratatosk
MeadHealthLingering | Lingering Healing Mead
MeadHealthMajor | Major Healing Mead
MeadHealthMedium | Medium Healing Mead
MeadHealthMinor | Minor Healing Mead
MeadLightfoot | Lightfoot Mead
MeadPoisonResist | Poison Resistance Mead
MeadStaminaLingering | Lingering Stamina Mead
MeadStaminaMedium | Medium Stamina Mead
MeadStaminaMinor | Minor Stamina Mead
MeadStrength | Mead of Troll Endurance
MeadSwimmer | Draught of Vananidir
MeadTamer | Brew of Animal Whispers
MeadTasty | Tasty Mead
MeadTrollPheromones | Love Potion
MeatballsMashedPoteitr | Meatballs and Poteitr
MeatPlatter | Meat Platter
MeatPlatterUncooked | Uncooked Meat Platter
MechanicalSpring | Mechanical Spring
MemorialCoal | Memorial Coal
MinceMeatSauce | Minced Meat Sauce
MisthareSupreme | Misthare Supreme
MisthareSupremeUncooked | Uncooked Misthare Supreme
Mistile_kamikaze | Mistile Kamikaze
MoldArmorGoldChest | Mould: Breastplate of the Protector
MoldArmorGoldHelmet | Mould: Helmet of the Protector
MoldArmorGoldLegs | Mould: Trousers of the Protector
MoldArmorMageChest | Mould: Robes of the Caller
